Desc	Data	NLSE	TCE	RSQ	WFF	
"Linear"	"Training"	0.0002560704973239	0.0	0.9997439295027	"y = -3.768558384731E-05 + (1.000014723274 * #void) + (1.000902555898 * A) + (-1.174409022338E-07 * B)"	
"Linear"	"Testing"	0.0005219108912146	0.0	0.9994780891088	"y = -3.768558384731E-05 + (1.000014723274 * #void) + (1.000902555898 * A) + (-1.174409022338E-07 * B)"	
"Champion01"	"Training"	0.0002147604136833	0.0	0.9997852395863	"y = 0.0003982926480806+(-0.000235722451712*(min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A)) , min(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))) % max(min(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))))+(1.347049570495E-05*(max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))) % (abs(fraction(x0)) - A)))+(7.999621838092*avg(((if (avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , ((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A))) == (B + A)) {B} else {(A + A)}) % (abs(fraction(x0)) - A)) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))));"	
"Champion01"	"Testing"	0.0003856507379121	0.0	0.9996143492621	"y = 0.0003982926480806+(-0.000235722451712*(min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A)) , min(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))) % max(min(max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))))+(1.347049570495E-05*(max((max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(A)))) , abs(A)) % (abs(fraction(x0)) - A)) , (ninteger(B) % abs(fraction(x0)))) % (abs(fraction(x0)) - A)))+(7.999621838092*avg(((if (avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , ((ninteger(B) % abs(fraction(x0))) % (abs(fraction(x0)) - A))) == (B + A)) {B} else {(A + A)}) % (abs(fraction(x0)) - A)) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))));"	
"Champion02"	"Training"	0.0002175085406648	0.0	0.9997824914593	"y = 0.000178388786706+(0.0004896244631957*product(((-A)*(-A)) , abs(A)))+(3.999833734112*avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))+(#void*#void);"	
"Champion02"	"Testing"	0.0003987954127511	0.0	0.9996012045872	"y = 0.000178388786706+(0.0004896244631957*product(((-A)*(-A)) , abs(A)))+(3.999833734112*avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))+(#void*#void);"	
"Champion03"	"Training"	0.000217512121429	0.0	0.9997824878786	"y = 9.725190617903E-05+(3.9998323916*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(-1.994229924005E-06*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.0003462745077823*max(cos(B) , cos(A)));"	
"Champion03"	"Testing"	0.0003994455995691	0.0	0.9996005544004	"y = 9.725190617903E-05+(3.9998323916*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(-1.994229924005E-06*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.0003462745077823*max(cos(B) , cos(A)));"	
"Champion04"	"Training"	0.0002175189705027	0.0	0.9997824810295	"y = -9.232469015224E-06+(-3.999833136493*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.0006290082355164*max(ninteger(A) , abs(A)))+(7.999668900013*avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion04"	"Testing"	0.0003977575685221	0.0	0.9996022424315	"y = -9.232469015224E-06+(-3.999833136493*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.0006290082355164*max(ninteger(A) , abs(A)))+(7.999668900013*avg(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))));"	
"Champion05"	"Training"	0.0002175189705027	0.0	0.9997824810295	"y = -9.232469013014E-06+(1.313512918477E-06*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.000629008235517*max(ninteger(A) , abs(A)))+(3.999834450006*avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)));"	
"Champion05"	"Testing"	0.0003977575685221	0.0	0.9996022424315	"y = -9.232469013014E-06+(1.313512918477E-06*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A)))+(0.000629008235517*max(ninteger(A) , abs(A)))+(3.999834450006*avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)));"	
"Champion06"	"Training"	0.0002175336246455	0.0	0.9997824663754	"y = 0.0003004886245546+(3.999933320115*min(avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B))) , avg(avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)) , avg(avg((min(x0 , A) - B) , abs(fraction(x0))) , avg(tan(x0) , B)))))+(0.0001416084353771*max(max(cos(x0) , cos(A)) , max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(A)) , abs(A))))+(-2.15817927969E-05*max(max(avg((abs(fraction(A)) * (A*A*A)) , avg((min(x0 , A) - B) , abs(fraction(x0)))) , abs(max(max(B , sqrt(B)) , abs(A)))) , abs(A)));"	
