"ID"	"A"	"B"	"C"	"Y"
1	1	0.54	1.56	2.1
2	2	-0.42	-2.19	-2.6
3	3	-0.99	-0.14	-1.13
4	4	-0.65	1.16	0.5
5	5	0.28	-3.38	-3.1
6	6	0.96	-0.29	0.67
7	7	0.75	0.87	1.63
8	8	-0.15	-6.8	-6.95
9	9	-0.91	-0.45	-1.36
10	10	-0.84	0.65	-0.19
11	11	0	-225.95	-225.95
12	12	0.84	-0.64	0.21
13	13	0.91	0.46	1.37
14	14	0.14	7.24	7.38
15	15	-0.76	-0.86	-1.62
16	16	-0.96	0.3	-0.66
17	17	-0.28	3.49	3.22
18	18	0.66	-1.14	-0.48
19	19	0.99	0.15	1.14
20	20	0.41	2.24	2.65
21	21	-0.55	-1.53	-2.08
22	22	-1	0.01	-0.99
23	23	-0.53	1.59	1.06
24	24	0.42	-2.13	-1.71
25	25	0.99	-0.13	0.86
26	26	0.65	1.18	1.83
27	27	-0.29	-3.27	-3.57
28	28	-0.96	-0.28	-1.24
29	29	-0.75	0.89	0.14
30	30	0.15	-6.41	-6.25
31	31	0.91	-0.44	0.47
32	32	0.83	0.66	1.5
33	33	-0.01	-75.31	-75.33
34	34	-0.85	-0.62	-1.47
35	35	-0.9	0.47	-0.43
36	36	-0.13	7.75	7.62
37	37	0.77	-0.84	-0.08
38	38	0.96	0.31	1.27
39	39	0.27	3.61	3.88
40	40	-0.67	-1.12	-1.78
41	41	-0.99	0.16	-0.83
42	42	-0.4	2.29	1.89
43	43	0.56	-1.5	-0.94
44	44	1	0.02	1.02
45	45	0.53	1.62	2.15
46	46	-0.43	-2.09	-2.52
47	47	-0.99	-0.12	-1.12
48	48	-0.64	1.2	0.56
49	49	0.3	-3.17	-2.87
50	50	0.96	-0.27	0.69
51	51	0.74	0.9	1.65
52	52	-0.16	-6.05	-6.22
53	53	-0.92	-0.43	-1.35
54	54	-0.83	0.67	-0.16
55	55	0.02	-45.18	-45.16
56	56	0.85	-0.61	0.24
57	57	0.9	0.48	1.38
58	58	0.12	8.33	8.45
59	59	-0.77	-0.83	-1.6
60	60	-0.95	0.32	-0.63
61	61	-0.26	3.74	3.49
62	62	0.67	-1.1	-0.42
63	63	0.99	0.17	1.16
64	64	0.39	2.35	2.74
65	65	-0.56	-1.47	-2.03
66	66	-1	0.03	-0.97
67	67	-0.52	1.65	1.13
68	68	0.44	-2.04	-1.6
69	69	0.99	-0.12	0.88
70	70	0.63	1.22	1.86
71	71	-0.31	-3.08	-3.39
72	72	-0.97	-0.26	-1.23
73	73	-0.74	0.92	0.18
74	74	0.17	-5.74	-5.57
75	75	0.92	-0.42	0.5
76	76	0.82	0.69	1.51
77	77	-0.03	-32.27	-32.3
78	78	-0.86	-0.6	-1.46
